Codes Fédé,Fédérations françaises agréées en 2017,Obs,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Corse-du-Sud,Haute-Corse,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,Guadeloupe,Martinique,Guyane,La Réunion,Saint-Pierre-et-Miquelon,Mayotte,Wallis et Futuna,Polynésie Française,Nouvelle Calédonie,Monaco,Autres,Non réparti par département et par région,TOTAL
Fédérations unisport olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total fédérations unisport non olympiques,,548,270,333,193,176,776,360,146,156,182,418,440,1268,386,122,278,437,245,223,117,140,368,411,90,316,352,496,385,222,505,656,1009,299,1016,896,587,161,364,984,211,607,233,669,258,681,441,236,310,92,362,234,274,95,178,447,118,409,584,170,934,448,172,586,490,564,226,425,536,428,1066,142,379,310,344,476,798,609,822,726,252,265,358,253,835,446,393,296,276,227,260,78,765,558,424,494,539,178,206,75,578,10,43,4,75,152,21,54,1515,43051
Fédérations multisports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,FF des clubs alpins et de montagne,,10,1,3,3,8,11,5,1,2,2,4,2,8,1,3,1,1,1,2,2,1,3,0,1,3,5,9,2,1,1,6,6,1,6,5,3,1,1,25,3,0,2,5,3,4,3,2,1,4,5,2,4,1,0,2,1,1,1,0,5,4,1,3,5,9,5,7,3,3,9,2,6,6,28,35,6,2,2,2,2,1,4,1,8,6,1,2,1,5,3,1,3,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2,385
402,FF d'éducation physique et de gymnastique volontaire,,65,59,98,22,11,47,39,10,45,56,40,40,88,73,36,85,100,64,58,10,22,44,24,22,63,29,54,112,81,31,107,131,47,210,73,124,44,92,112,39,94,70,94,36,39,89,33,60,33,30,163,39,36,62,71,38,50,84,20,100,86,39,35,49,51,35,113,67,83,85,38,47,85,67,42,27,100,84,70,90,33,80,36,48,47,67,94,98,43,61,4,80,23,39,34,67,14,27,8,41,1,0,0,0,3,0,0,1,5990
403,FF sport pour tous,,21,47,54,9,18,22,39,61,20,3,7,33,72,28,2,8,12,3,6,4,7,22,87,35,18,55,13,26,11,75,43,38,3,75,34,44,4,12,41,42,9,8,16,2,68,54,4,9,3,35,5,42,4,1,34,7,90,112,5,115,55,4,49,21,10,2,13,127,60,22,1,13,8,18,50,41,66,42,51,2,93,15,16,41,33,22,2,11,20,6,4,28,20,8,23,14,1,3,25,40,0,12,0,0,22,0,0,0,2891
404,FF de la retraite sportive,,11,1,21,3,5,8,0,0,1,0,1,10,29,4,11,0,4,0,2,0,0,2,0,4,0,7,3,0,0,1,9,13,11,5,14,8,1,2,25,8,0,1,3,3,9,0,2,1,5,1,0,0,0,11,1,0,0,0,0,4,4,5,2,6,9,2,3,1,1,22,1,8,14,1,3,2,1,6,2,0,2,1,2,15,2,24,2,11,0,0,0,7,5,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,440
405,FF du sport travailliste,,4,0,1,2,1,31,2,2,1,4,4,3,52,2,1,5,7,3,1,2,3,6,6,0,1,3,2,5,1,11,8,16,1,15,20,6,1,2,21,1,6,1,7,1,18,5,0,2,1,1,2,6,1,1,8,3,9,4,0,20,4,0,22,1,5,1,11,6,8,12,2,3,6,7,8,26,7,14,24,3,2,5,0,16,6,11,2,4,4,2,1,21,14,14,15,8,2,1,6,20,0,0,0,0,8,1,0,0,686
406,F des clubs  de la défense,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,410
407,F nationale du sport en milieu rural,,4,11,3,1,0,2,9,0,4,2,1,5,28,5,0,1,5,2,3,1,0,12,14,0,7,0,14,4,0,19,8,22,16,28,33,6,0,2,14,0,17,0,3,0,14,1,0,6,10,10,1,4,0,1,1,1,9,6,0,28,15,2,39,2,3,0,21,1,2,4,0,0,6,4,0,0,58,29,9,12,4,2,0,8,20,59,0,0,1,1,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,707
408,F sportive et culturelle de France,,12,1,2,0,1,2,9,6,0,9,0,0,19,10,3,3,8,4,0,1,0,17,10,0,15,31,2,1,15,11,1,12,1,20,1,66,0,9,36,10,16,6,51,5,64,24,0,2,0,89,9,14,4,21,22,10,69,28,0,41,13,9,8,11,25,3,0,119,81,46,6,12,13,29,7,33,9,15,15,11,3,1,0,1,0,31,8,6,12,21,4,23,7,12,16,22,3,3,0,2,0,0,0,0,0,0,0,0,1463
