Codes Fédé,Fédérations françaises agréées en 2017,Obs,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Corse-du-Sud,Haute-Corse,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,Guadeloupe,Martinique,Guyane,La Réunion,Saint-Pierre-et-Miquelon,Mayotte,Wallis et Futuna,Polynésie Française,Nouvelle Calédonie,Monaco,Autres,Non réparti par département et par région,TOTAL
Fédérations unisport olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,FF d'athlétisme,,20,16,8,4,8,33,9,24,5,16,11,10,67,23,9,8,22,14,17,13,14,16,34,8,11,14,13,23,19,28,20,32,4,60,33,55,9,18,31,8,15,15,19,7,59,22,6,11,8,47,21,22,6,19,28,9,36,32,10,72,36,7,45,23,29,17,11,34,32,33,4,11,31,12,26,41,37,57,62,10,30,22,6,44,16,40,14,20,24,14,6,49,49,33,33,40,38,37,12,59,2,6,5,13,14,1,0,2,2438
102,FF d'aviron,,9,3,2,3,1,4,1,4,0,2,5,2,16,3,0,3,4,1,2,3,2,3,6,0,3,4,5,3,1,17,3,14,2,12,10,7,0,4,7,3,4,4,5,1,10,4,4,7,0,4,3,4,1,2,5,4,9,4,1,10,2,0,4,1,6,0,5,5,3,12,2,3,2,3,9,1,7,6,8,1,2,3,4,9,2,3,1,2,2,2,1,7,5,2,9,6,5,13,3,1,0,0,0,4,0,1,0,1,428
103,FF de badminton,,17,7,10,6,7,16,9,13,4,8,5,11,40,29,3,9,19,20,11,1,3,14,27,11,16,18,11,13,24,21,16,41,4,55,21,86,20,28,44,10,17,26,18,7,49,39,10,13,3,39,15,17,4,27,23,7,37,25,4,62,16,22,36,27,8,2,16,59,25,34,11,11,21,12,16,30,40,48,45,6,14,9,7,20,12,25,11,27,14,10,1,40,22,21,28,27,7,5,4,15,0,0,1,0,11,1,0,0,1987
105,FF de basketball,,41,20,22,12,8,32,27,14,11,14,10,31,74,46,8,19,35,16,17,4,8,28,43,15,25,16,27,31,23,60,27,66,29,67,34,105,21,43,84,13,73,21,111,18,140,71,17,45,4,129,21,26,6,35,39,12,62,35,19,160,35,19,101,63,52,19,21,101,68,116,10,43,52,21,23,48,71,58,57,27,17,27,17,33,23,87,26,29,26,22,4,53,38,39,43,41,37,21,14,22,0,37,0,10,0,2,0,2,3945
106,FF de boxe,,4,9,6,3,1,18,5,5,2,4,4,4,29,10,0,0,6,4,4,3,3,3,8,1,4,9,5,9,6,5,13,20,5,29,17,5,4,7,19,5,8,6,13,2,18,8,1,5,1,8,7,8,5,5,12,3,10,18,3,34,12,4,23,12,9,3,7,13,10,22,2,7,8,4,10,19,17,18,15,4,4,4,1,16,9,7,4,4,0,2,2,12,14,27,19,11,9,8,7,12,0,0,0,0,6,1,0,0,871
107,FF de canoë-kayak,,8,11,4,3,5,8,12,6,3,5,2,3,10,7,1,10,8,6,8,0,3,9,14,2,7,13,4,9,5,20,8,7,4,14,10,20,4,6,7,1,7,5,6,2,17,8,2,8,2,13,8,10,2,4,11,2,19,11,6,13,4,3,13,3,13,5,3,12,4,4,3,6,5,5,7,2,9,16,9,3,9,4,2,15,5,11,8,4,4,8,2,6,4,5,9,2,10,4,10,9,0,4,1,0,1,0,0,1,710
108,FF de cyclisme,,24,23,15,17,13,33,17,12,11,11,16,15,78,33,11,20,26,19,10,10,11,23,55,12,21,29,28,28,17,51,25,28,6,49,42,52,13,39,48,15,13,16,34,10,46,32,7,14,7,35,36,22,10,17,23,9,49,28,9,66,28,22,50,30,25,18,14,24,27,41,13,31,42,29,46,3,48,41,27,17,28,18,10,56,31,38,15,25,22,21,4,31,19,22,12,23,61,25,11,27,0,5,0,11,6,1,0,1,2588
109,FF d'équitation,,37,28,22,14,13,37,14,15,13,13,23,21,99,32,12,30,37,23,11,11,31,32,21,15,30,24,36,37,25,26,50,45,16,77,46,19,13,33,26,19,17,25,33,8,61,25,21,35,9,45,46,24,18,12,40,9,45,36,16,67,51,16,48,32,34,19,14,63,28,22,15,38,27,13,19,25,56,50,46,15,25,30,30,56,22,58,21,13,19,21,4,47,23,5,10,25,9,2,8,10,1,1,0,2,19,1,21,0,2832
110,FF d'escrime,,10,3,5,4,2,11,7,6,2,4,5,3,18,12,2,2,8,5,3,2,2,7,10,3,7,5,8,12,2,4,6,16,2,18,8,17,1,6,12,6,4,2,5,6,10,10,0,2,0,5,6,7,4,1,11,2,6,8,2,22,12,2,10,5,6,2,6,11,12,27,3,6,7,5,5,33,15,24,28,2,5,5,2,13,7,6,7,4,5,4,2,25,31,18,26,14,9,5,3,10,0,0,0,0,4,1,2,2,810
111,FF de football,,127,159,152,32,16,112,80,119,40,88,74,108,221,165,73,132,135,98,80,41,55,119,226,72,133,163,103,122,95,239,152,265,50,266,166,266,130,139,224,74,63,96,205,106,256,117,65,50,29,188,150,156,85,181,175,49,252,332,71,587,207,91,412,194,93,36,59,350,207,283,69,147,178,62,124,187,300,174,156,147,199,95,69,114,90,165,177,120,87,104,35,135,122,114,129,124,98,81,74,235,8,121,2,0,72,1,84,16,14471
112,FF des sports de glace,,0,0,0,0,2,3,0,1,0,1,0,0,2,1,0,2,0,0,3,0,0,2,1,0,0,2,2,1,0,1,1,4,0,1,3,2,1,3,7,1,0,1,2,0,3,4,0,0,0,3,0,4,0,0,1,0,1,2,0,3,2,0,0,3,2,0,1,2,3,3,0,0,1,10,6,2,5,1,3,1,1,1,0,2,1,1,2,2,1,1,2,4,2,2,5,5,0,0,0,0,2,0,0,0,0,0,0,3,153
113,FF de gymnastique,,22,12,11,3,3,22,6,8,6,8,6,5,32,22,2,6,12,13,3,4,8,16,7,0,6,15,12,14,12,26,7,18,4,39,18,28,5,10,17,8,8,9,14,5,26,20,3,6,0,17,12,11,5,4,18,1,12,32,12,50,19,3,18,13,9,3,7,42,41,44,5,24,19,9,14,10,52,33,36,21,7,8,4,29,9,11,15,5,10,7,5,36,35,25,35,29,15,18,4,13,0,0,0,0,5,3,0,0,1491
114,FF d'haltérophilie - musculation,,3,4,1,1,0,4,2,1,1,2,1,1,15,5,1,1,4,1,2,0,0,1,0,0,1,3,4,5,2,5,3,6,0,11,8,2,2,1,7,1,2,3,3,0,7,4,3,0,0,1,1,2,2,3,5,1,7,5,2,10,9,2,4,3,4,3,2,13,7,7,2,2,3,2,1,3,2,7,4,0,9,3,1,8,7,1,1,4,1,2,1,2,6,5,7,6,5,2,2,8,0,0,2,0,2,1,0,0,339
115,FF de handball,,16,13,13,4,4,24,19,7,8,16,16,13,49,28,11,19,19,22,11,8,6,25,33,6,22,30,17,26,26,59,34,38,10,69,33,39,12,25,34,12,14,14,22,19,67,37,9,12,4,33,33,15,12,23,35,15,36,43,7,55,30,14,28,18,41,11,12,53,40,39,17,17,29,16,15,15,46,42,42,21,25,12,8,28,18,36,20,26,18,10,8,42,28,28,31,29,16,30,10,34,0,30,0,0,6,0,0,15,2435
116,FF de hockey,,1,0,0,0,0,5,1,0,0,0,0,1,3,5,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3,3,0,2,4,11,2,6,0,2,2,0,0,3,4,0,7,5,0,2,0,3,0,0,0,2,1,0,1,0,0,17,4,0,18,0,0,0,0,2,0,6,0,0,2,0,0,8,16,1,4,0,2,2,0,0,0,0,0,1,0,0,0,1,8,2,2,1,0,0,0,6,0,0,0,0,0,0,0,0,186
117,FF de judo-jujitsu et disciplines associées,,46,51,30,25,14,66,20,19,15,33,37,19,141,73,10,24,52,32,18,16,15,57,44,15,51,59,30,54,45,69,69,120,31,175,100,88,30,52,91,31,41,26,48,24,82,59,16,39,9,71,34,38,20,26,85,24,74,86,25,181,93,31,99,70,60,22,41,90,65,117,32,35,47,21,45,108,113,156,131,24,57,44,19,90,51,48,50,43,50,43,9,114,58,68,67,93,30,32,12,40,1,6,1,1,27,2,0,39,5470
118,FF de lutte et disciplines associées,,5,5,2,1,0,6,2,1,2,2,2,1,9,9,3,1,1,0,0,0,0,10,11,0,1,5,0,1,2,26,3,7,0,18,9,11,0,5,9,2,3,0,1,1,17,1,0,1,0,2,3,5,0,1,2,0,7,8,0,18,3,1,11,19,4,9,2,10,9,10,2,11,3,3,3,6,4,13,7,0,0,1,6,4,1,0,1,5,2,0,0,7,13,26,13,5,0,0,0,19,0,0,0,9,0,0,0,1,485
119,FF de natation ,,6,8,10,3,5,19,6,7,5,4,9,7,39,16,3,9,13,8,4,4,6,8,13,3,6,6,7,13,8,17,10,21,4,27,20,13,7,9,26,5,12,6,11,6,22,13,8,6,3,16,12,10,4,9,18,3,14,18,8,50,15,5,28,16,19,5,10,25,17,30,4,17,13,9,17,22,27,26,28,8,11,9,3,17,11,9,12,7,10,7,2,26,30,28,25,28,16,16,9,22,1,0,0,7,8,1,0,2,1321
120,FF de pentathlon moderne,,0,1,0,1,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39
121,FF de ski,,20,0,3,7,32,43,5,1,15,0,11,7,22,0,4,1,1,1,6,5,4,4,0,0,0,20,19,0,0,6,8,20,6,16,8,1,1,0,74,22,8,0,16,2,2,1,1,2,3,0,0,1,0,1,6,0,0,11,2,0,0,0,1,27,25,20,14,32,56,24,4,8,1,76,116,19,0,3,7,1,0,0,2,15,8,0,3,2,19,2,7,4,3,3,4,3,0,0,0,0,0,0,0,0,0,1,2,0,961
122,FF de taekwondo et disciplines associées,,7,2,3,1,2,15,3,1,1,5,6,9,30,8,0,1,7,3,1,5,12,1,1,1,2,1,6,6,12,2,13,33,1,14,27,9,1,4,21,1,3,1,5,3,18,18,3,8,0,5,0,1,1,1,16,1,4,14,1,33,9,1,3,5,3,3,14,14,9,42,1,2,9,5,15,42,12,38,30,8,5,5,2,23,10,8,3,4,3,2,2,51,18,19,30,16,13,5,8,5,1,0,0,0,0,0,0,40,952
123,FF de tennis,,98,51,64,30,16,90,52,36,24,45,56,36,168,94,22,70,115,58,39,12,24,71,67,22,65,68,79,65,64,109,113,189,33,220,147,152,40,92,153,28,85,66,97,40,135,117,28,59,13,100,59,67,31,36,82,21,78,151,39,201,101,41,96,95,78,39,64,147,90,176,28,63,57,48,87,176,143,167,163,58,72,51,28,103,81,102,65,64,49,55,19,143,68,55,70,97,43,30,13,48,1,10,2,0,24,1,0,3,7696
124,FF de tennis de table,,24,29,20,7,6,25,11,33,6,15,12,18,31,50,15,33,36,31,18,6,2,20,37,4,16,53,15,54,30,74,27,25,11,56,30,95,25,56,43,17,17,37,38,11,133,60,10,12,11,75,50,35,8,86,46,14,57,57,21,172,52,43,93,46,15,8,18,54,24,70,18,19,59,14,19,33,99,59,69,36,46,12,10,29,14,70,23,19,30,14,13,55,37,25,41,41,10,11,3,11,0,2,0,0,9,1,0,0,3440
125,FF de tir,,14,13,11,5,6,18,6,14,4,14,13,8,68,22,10,10,18,9,10,16,15,17,12,4,12,29,13,17,10,18,23,29,8,19,27,12,13,15,25,9,6,12,15,7,13,22,5,11,7,9,12,23,8,4,24,12,14,38,11,45,21,6,31,20,8,10,12,56,43,34,13,16,9,15,21,23,20,26,20,15,15,16,8,28,18,8,11,11,18,17,4,26,15,18,13,21,15,8,5,7,1,1,0,0,8,0,0,0,1625
126,FF de tir à l'arc,,15,54,11,7,3,9,9,6,2,13,6,9,30,20,5,5,21,16,6,4,3,13,16,3,9,11,14,15,25,26,18,19,6,31,18,30,9,17,33,10,10,12,13,11,32,24,6,13,10,16,16,16,6,9,22,9,20,26,3,42,76,8,24,15,10,6,10,16,17,40,8,14,14,12,16,11,36,50,41,8,17,8,9,24,17,20,12,5,12,12,6,33,22,28,23,28,4,3,1,6,0,1,0,0,9,1,0,0,1626
127,FF de triathlon,,8,3,4,4,2,18,6,3,1,5,5,2,14,6,2,3,6,5,3,4,2,7,4,2,4,2,2,8,4,13,7,17,2,17,13,11,3,5,13,2,5,5,5,2,18,7,0,3,2,9,5,3,4,6,9,2,13,10,1,18,8,5,15,6,9,2,4,12,10,8,2,6,6,4,8,13,10,14,21,3,10,5,1,8,11,11,2,1,6,2,1,19,17,2,9,9,10,2,0,6,0,0,0,0,2,1,0,194,864
128,FF de voile,,4,4,3,4,5,30,2,3,1,5,9,1,47,25,3,1,35,3,3,15,7,5,25,1,1,6,3,3,5,61,3,7,3,24,18,13,1,5,7,1,9,4,3,0,30,6,0,0,1,8,25,4,4,3,5,0,35,9,2,19,3,0,11,4,9,0,10,9,4,10,1,5,4,2,13,17,15,12,22,3,8,2,1,44,0,26,2,3,3,2,0,15,12,1,11,7,20,9,4,8,1,4,1,0,15,1,0,1,924
129,FF de volleyball,,9,10,5,2,3,36,6,4,5,1,6,4,26,18,4,7,15,1,5,3,2,8,11,0,5,8,14,17,5,10,10,16,0,30,34,61,1,13,23,3,10,2,27,6,31,14,0,5,2,21,9,5,3,15,30,3,18,17,0,56,13,5,27,10,15,8,11,24,24,39,1,14,11,4,6,24,9,21,16,9,10,13,3,23,18,18,21,1,7,9,4,26,26,14,27,19,12,14,12,19,0,17,6,0,43,3,0,18,1389
131,FF de hockey sur glace,,1,0,0,0,7,1,1,1,0,1,1,0,2,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,3,6,0,0,1,1,0,1,1,0,0,0,2,1,2,0,0,1,0,1,2,0,3,1,0,0,2,1,1,1,1,2,1,0,0,0,6,10,2,4,1,1,1,1,1,0,2,1,1,2,1,2,0,1,1,5,2,3,6,0,0,0,0,3,0,0,0,0,0,0,0,122
132,FF de golf,,19,6,10,7,2,50,3,3,3,3,2,4,51,18,5,13,19,10,9,5,4,19,16,2,9,11,10,11,15,23,15,53,8,70,31,35,6,18,29,5,16,7,14,5,50,28,4,8,4,23,13,18,2,7,11,3,18,11,1,47,13,6,9,20,20,9,5,23,15,29,5,8,9,13,22,60,31,22,65,9,12,8,5,22,8,10,12,16,8,7,4,27,69,13,19,28,2,2,3,3,0,1,0,7,5,7,0,7,1620
133,FF de rugby,,28,7,14,6,4,11,22,4,28,3,32,14,38,8,14,13,25,13,37,5,10,18,10,4,32,8,30,12,9,19,20,80,28,58,50,21,8,13,67,10,50,9,14,8,25,14,16,39,5,11,9,6,2,3,8,3,19,9,8,25,13,4,15,50,77,29,45,9,8,30,4,26,7,11,12,20,19,18,24,8,7,44,24,40,20,9,10,22,4,9,1,25,24,18,13,11,9,8,8,14,1,12,6,0,19,1,4,3,1911
,Total fédérations unisport olympiques,,643,552,461,216,190,799,363,371,219,341,388,367,1473,789,234,452,699,433,342,200,252,558,753,206,499,634,519,610,494,1039,705,1240,281,1556,984,1264,381,671,1189,322,520,434,802,317,1385,791,245,416,137,938,607,562,253,542,792,218,954,1078,284,2138,890,361,1273,832,684,309,448,1307,901,1353,279,590,676,446,731,1004,1264,1205,1187,466,648,462,282,916,521,829,551,491,456,409,150,1062,824,669,767,795,503,391,241,669,23,258,27,64,315,34,113,351,66129
Fédérations unisport non olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,FF d'aéromodélisme,,11,10,7,2,5,9,4,4,5,2,6,3,16,12,2,10,12,8,5,3,2,7,10,3,8,9,11,11,6,17,10,13,8,24,12,12,7,9,21,6,14,6,7,3,12,10,4,9,1,8,5,9,2,4,18,5,8,16,4,19,14,4,21,8,7,3,6,20,17,9,6,8,6,9,8,3,11,22,13,9,6,10,6,12,6,10,6,5,7,8,3,16,6,4,8,13,4,1,2,4,1,0,0,0,1,0,6,0,855
202,FF d'aéronautique ,,7,6,6,4,4,4,2,3,2,6,6,5,10,6,1,3,12,6,4,4,5,9,3,1,8,5,9,5,3,5,5,21,3,15,8,6,3,3,6,3,6,3,5,2,5,5,2,4,2,7,4,7,4,2,7,2,8,3,3,7,7,8,9,5,7,4,3,9,9,11,3,6,3,10,2,11,8,24,25,4,7,4,3,10,4,8,6,4,3,7,1,10,7,2,2,6,6,4,2,4,0,1,0,1,3,0,3,0,591
203,FF d'aérostation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76
204,"FF d'aïkido, d'aïkibudo et affinitaires",,11,5,5,2,0,25,9,0,4,2,10,2,22,7,3,3,13,0,3,3,2,7,5,0,11,7,10,4,10,10,21,19,1,37,19,10,3,3,13,7,4,6,9,4,14,2,7,4,3,12,1,11,0,1,14,2,4,11,3,32,4,1,8,8,11,3,9,36,27,18,1,2,1,8,13,37,14,18,29,7,1,2,1,21,8,3,5,3,1,2,4,33,20,21,27,10,5,12,8,10,0,1,0,0,9,0,0,1,935
205,FF d'aïkido et de budo,,9,1,9,8,4,12,3,6,3,2,3,5,43,15,0,1,9,6,1,3,1,14,7,3,3,16,4,4,2,20,19,20,4,20,29,15,7,6,21,3,8,8,2,1,25,14,3,3,0,5,7,1,5,1,15,8,15,31,2,22,7,2,7,2,2,2,2,5,7,34,2,9,6,8,17,24,5,12,12,2,9,3,5,17,13,9,1,7,17,9,3,13,9,10,10,18,5,0,3,10,0,2,0,0,11,1,0,1,890
206,FF du sport automobile,,6,4,2,2,1,16,2,1,2,1,2,4,9,5,2,3,4,2,0,2,4,6,2,1,2,7,4,2,2,1,7,3,1,4,7,3,2,3,3,2,3,3,8,2,6,1,3,4,1,2,5,4,1,1,5,1,2,4,2,7,4,2,7,7,5,0,3,3,8,7,3,7,4,2,6,5,5,3,4,3,3,3,1,8,4,7,4,7,4,4,0,4,5,2,1,2,3,3,2,7,0,0,0,2,4,0,0,1,370
207,FF de jeu de balle au tambourin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56
208,FF de ballon au poing,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
209,FF de ball-trap ,,6,7,7,2,4,6,5,2,2,3,7,3,12,6,1,6,9,6,0,3,8,4,7,2,9,5,7,9,5,2,10,11,7,19,7,4,3,11,10,6,11,7,5,2,1,5,2,5,0,1,3,9,3,1,3,5,2,6,2,17,5,4,12,3,10,9,4,3,4,3,4,5,4,3,5,0,7,13,13,2,5,5,4,11,4,1,4,5,1,2,0,9,2,2,2,6,0,0,0,0,0,0,0,0,5,0,0,16,530
210,FF de billard,,3,9,5,1,0,6,2,1,4,5,2,2,12,4,3,10,7,5,2,0,2,3,11,0,1,7,6,13,10,16,2,8,1,8,10,12,3,10,5,2,1,9,10,1,19,12,4,2,1,5,3,7,2,2,8,7,6,16,1,15,13,2,15,4,4,3,4,11,8,13,1,5,8,4,6,4,9,10,8,4,11,3,3,9,9,12,2,13,6,4,2,10,6,4,5,6,1,1,0,7,0,0,0,0,0,0,0,0,594
211,FF du sport boules,,186,12,27,6,21,37,92,0,12,2,19,17,14,7,8,10,18,16,12,0,0,10,10,0,10,8,102,10,9,0,23,47,16,11,38,0,6,6,240,24,8,3,242,56,13,9,15,10,6,0,1,4,1,0,12,2,0,5,10,8,14,5,18,30,6,11,25,2,3,283,3,69,21,58,31,18,7,19,15,4,12,15,17,12,25,5,12,22,10,13,6,17,13,8,8,11,0,0,0,0,0,0,0,0,0,1,0,16,2356
212,"FF de boxe française, savate et disciplines associées",,10,3,3,3,2,9,5,1,5,1,5,2,30,8,2,8,3,3,2,0,0,6,4,5,7,3,11,6,3,7,17,23,3,19,14,7,3,6,16,3,6,1,5,4,9,4,4,7,1,3,1,3,0,0,10,2,14,9,1,21,7,0,7,10,4,1,14,15,7,16,5,5,3,7,10,32,8,26,19,3,4,5,3,17,6,7,3,2,2,2,1,18,19,16,23,19,9,8,1,21,0,0,0,0,2,0,0,0,760
213,FF de bowling et de sports de quilles,,2,1,5,0,1,4,2,3,0,3,3,127,8,5,2,2,6,7,1,1,0,14,3,0,4,11,2,3,7,5,4,16,18,11,6,5,0,4,1,3,15,6,4,0,10,18,0,2,2,3,4,7,2,0,10,0,6,25,1,14,5,4,2,7,34,13,5,30,72,7,1,5,7,6,4,13,14,6,10,3,5,11,2,11,3,7,5,4,4,3,3,5,9,2,10,5,0,1,0,3,0,0,0,0,4,1,0,5,780
214,FF de char à voile,,0,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,8,1,0,0,4,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,1,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
215,FF de la course camarguaise,,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,162
216,FF de la course landaise,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,30,2,0,1,0,0,0,0,158,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
217,FF de la course d'orientation,,3,1,3,2,2,2,4,1,0,0,3,5,6,3,0,1,1,1,2,0,0,5,2,1,2,3,5,1,0,2,1,2,2,3,2,3,2,2,5,3,3,0,4,1,4,2,1,4,1,1,2,2,0,1,3,1,2,2,1,3,2,1,3,2,1,1,2,3,3,4,1,2,2,2,3,2,1,11,2,0,0,3,2,6,2,1,1,1,3,2,1,3,4,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,208
218,FF de cyclotourisme,,31,18,26,12,4,16,26,15,11,37,40,11,61,34,10,30,33,29,22,3,0,36,74,6,21,19,38,32,18,51,26,45,26,57,41,91,9,32,78,15,36,36,42,15,63,37,20,13,5,55,19,27,11,27,35,6,57,44,19,85,38,27,72,33,48,15,29,43,28,58,7,18,38,28,27,24,50,53,65,40,21,19,26,51,50,34,46,10,12,20,3,66,29,20,31,29,2,0,0,8,0,0,0,0,2,0,3,0,3059
219,FF de danse,,16,12,2,5,3,39,6,3,3,4,19,5,92,6,7,1,8,16,5,1,6,5,18,2,19,3,15,36,7,14,27,31,6,63,29,17,3,12,29,2,17,3,9,5,33,17,8,13,2,4,8,5,0,2,12,2,12,28,8,45,26,2,27,21,15,7,29,11,14,35,1,13,1,5,10,25,40,45,25,2,11,9,3,59,10,25,16,5,9,12,0,34,15,20,19,24,2,1,1,32,0,0,0,0,2,4,0,1,1498
220,FF des échecs,,10,10,4,2,3,16,2,8,1,3,15,4,19,12,2,6,6,2,7,4,6,6,9,1,5,4,3,7,4,15,10,19,6,13,20,16,2,12,10,5,4,6,7,1,16,6,4,4,2,7,5,5,2,8,10,1,10,21,1,26,12,5,13,3,8,4,7,31,25,20,3,8,10,6,7,48,16,16,17,5,6,8,3,14,10,11,4,4,5,2,2,18,27,14,14,16,7,10,6,10,0,0,0,1,1,1,0,3,916
221,FF d'études et sports sous-marins,,19,14,9,5,5,44,8,7,4,6,17,6,98,20,3,7,20,6,5,16,14,12,22,2,5,10,17,14,8,42,25,64,2,56,42,29,5,16,55,8,17,6,20,3,37,23,5,10,2,18,12,10,5,7,27,5,20,30,3,54,18,6,25,16,14,2,23,33,20,66,8,9,12,12,23,65,36,50,40,8,15,12,6,63,20,15,7,14,8,7,5,57,52,31,43,34,18,13,3,27,1,4,0,7,18,0,6,4,2057
222,FF de football américain,,0,3,1,0,2,2,0,1,0,1,1,0,6,1,0,1,4,0,1,1,2,4,2,0,3,2,3,2,2,4,2,6,0,8,6,1,1,2,2,1,2,2,4,0,3,5,1,1,0,2,2,1,3,1,2,1,2,2,1,10,4,1,5,3,8,1,2,5,3,4,0,5,1,1,3,3,5,8,3,0,2,2,1,4,2,2,1,1,1,1,1,4,4,6,8,4,0,1,0,0,0,0,0,0,0,0,1,0,234
224,FF de giraviation,(E) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59
