Codes Fédé,Fédérations françaises agréées en 2017,Obs,0 à 4 ans,5 à 9 ans,10 à 14 ans,15 à 19 ans,20 à 24 ans,25 à 29 ans,30 à 34 ans,35 à 39 ans,40 à 44 ans,45 à 49 ans,50 à 54 ans,55 à 59 ans,60 à 64 ans,65 à 69 ans,70 à 74 ans,75 à 79 ans,80 ans et plus,Non renseigné,TOTAL
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,285,11995,23286,15389,5424,4317,4585,5656,8136,9417,7818,6319,5366,4813,2499,898,575,1,116779
109,FF d'équitation,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,2047,21158,20507,10070,4925,4737,4661,4626,4997,6045,6479,6318,5400,4287,2316,735,327,0,109635
,Licences féminines,,4457,88913,161516,108753,41262,31293,21405,17445,15422,15293,12179,8449,4914,2413,1032,291,127,1,535165
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,6504,110071,182023,118823,46187,36030,26066,22071,20419,21338,18658,14767,10314,6700,3348,1026,454,1,644800
110,FF d'escrime,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,117,11403,14703,5636,1710,1627,1364,1196,1279,1395,1112,791,520,337,227,82,75,13,43587
,Licences féminines,,41,2805,5147,2710,903,926,705,720,820,850,684,449,227,165,105,40,31,15,17343
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,158,14208,19850,8346,2613,2553,2069,1916,2099,2245,1796,1240,747,502,332,122,106,28,60930
111,FF de football,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,312768,465146,282656,180514,172907,138468,116056,95814,79355,52842,31203,19833,14809,7442,2613,1462,245,1974133
,Licences féminines,,0,16953,40385,29338,15632,13206,8732,7639,7374,6370,4498,2687,1773,1412,698,213,121,1,157032
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,0,329721,505531,311994,196146,186113,147200,123695,103188,85725,57340,33890,21606,16221,8140,2826,1583,246,2131165
112,FF des sports de glace,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,63,880,750,403,186,159,139,106,183,179,148,106,91,100,58,16,5,1,3573
,Licences féminines,,274,7249,8552,3863,899,617,506,449,463,408,283,150,109,74,49,13,14,20,23992
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,337,8129,9302,4266,1085,776,645,555,646,587,431,256,200,174,107,29,19,21,27565
113,FF de gymnastique,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,12005,18903,10319,5328,1884,1241,950,997,1137,1161,895,743,635,551,408,206,175,1,57539
,Licences féminines,,18842,91775,78706,23913,4940,3551,3601,4697,5055,4760,3599,2598,2421,2137,1217,624,428,0,252864
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,30847,110678,89025,29241,6824,4792,4551,5694,6192,5921,4494,3341,3056,2688,1625,830,603,1,310403
114,FF d'haltérophilie - musculation,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,20,29,415,2860,2646,2156,1695,1441,1237,1368,1144,995,887,771,459,223,150,0,18496
,Licences féminines,,6,26,210,1086,1092,1021,842,843,932,1110,1012,806,721,532,244,112,43,0,10638
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,26,55,625,3946,3738,3177,2537,2284,2169,2478,2156,1801,1608,1303,703,335,193,0,29134
115,FF de handball,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,3895,57893,104587,68028,24435,20064,15840,14955,14461,12682,7836,4128,2040,1210,597,206,101,0,352958
,Licences féminines,,1816,26648,59177,40695,16267,13206,8923,8398,8385,6657,3478,1504,588,337,170,56,32,0,196337
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,5711,84541,163764,108723,40702,33270,24763,23353,22846,19339,11314,5632,2628,1547,767,262,133,0,549295
116,FF de hockey,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,66,2010,3760,1941,878,825,680,609,628,506,346,170,132,86,67,15,6,0,12725
,Licences féminines,,19,833,1556,731,394,297,185,144,186,176,135,59,7,20,7,2,1,0,4752
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,85,2843,5316,2672,1272,1122,865,753,814,682,481,229,139,106,74,17,7,0,17477
117,"FF de judo-jujitsu, kendo et disciplines associées",,,,,,,,,,,,,,,,,,,,
,Licences masculines,,5020,189727,93402,31113,9844,7943,8356,10509,11779,10875,7737,5544,3399,2311,1439,642,455,69,400164
,Licences féminines,,2218,64377,37199,13581,4110,3536,4418,6944,8107,7017,4790,2909,1918,1282,595,224,161,30,163416
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,7238,254104,130601,44694,13954,11479,12774,17453,19886,17892,12527,8453,5317,3593,2034,866,616,99,563580
118,FF de lutte,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,1626,3193,1954,1118,1180,1084,1038,739,526,327,241,174,116,68,35,39,2251,15709
,Licences féminines,,0,542,988,540,229,233,240,303,301,248,184,115,83,55,36,16,6,681,4800
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,0,2168,4181,2494,1347,1413,1324,1341,1040,774,511,356,257,171,104,51,45,2932,20509
119,FF de natation ,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,2094,40659,46982,19438,3963,3287,3311,3933,5492,6008,4464,2786,1799,1210,652,319,210,1,146608
,Licences féminines,,1999,41469,52910,18865,3475,3231,3334,4850,7007,7860,6474,5138,4147,3486,2012,924,509,1,167691
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,4093,82128,99892,38303,7438,6518,6645,8783,12499,13868,10938,7924,5946,4696,2664,1243,719,2,314299
120,FF de pentathlon moderne,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,151,393,144,36,32,29,27,57,61,49,23,20,12,6,5,3,0,1048
,Licences féminines,,1,84,297,151,40,28,16,29,58,73,43,25,10,2,0,1,1,0,859
,Licences non réparties,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,Sous/Total,,1,236,691,296,76,60,45,56,115,134,92,48,30,14,6,6,4,0,1910
121,FF de ski,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,176,8476,13393,7669,3710,3209,2648,2981,3831,4741,4432,3915,3518,2993,2123,996,532,10,69353
,Licences féminines,,135,6655,9470,4720,2048,1829,1335,1703,2407,2711,2431,1994,1521,1258,769,280,134,9,41409
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,311,15131,22863,12389,5758,5038,3983,4684,6238,7452,6863,5909,5039,4251,2892,1276,666,19,110762
122,FF de taekwondo et disciplines associées,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,363,10195,9857,4251,1332,1224,1375,1534,1674,1244,706,490,247,138,71,21,17,0,34739
,Licences féminines,,200,4955,5492,2654,708,950,925,1124,1066,814,416,193,95,59,31,13,8,1,19704
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,563,15150,15349,6905,2040,2174,2300,2658,2740,2058,1122,683,342,197,102,34,25,1,54443
123,FF de tennis,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,2698,121486,168789,82750,24196,25858,30269,40465,51819,51905,36554,23321,18425,17446,12713,6346,3505,7,718552
,Licences féminines,,1322,53599,70416,34034,9637,11091,12571,18052,23068,21542,15009,10104,7560,6337,4341,1803,776,2,301264
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,4020,175085,239205,116784,33833,36949,42840,58517,74887,73447,51563,33425,25985,23783,17054,8149,4281,9,1019816
124,FF de tennis de table,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,603,16465,45021,18691,6480,6897,7603,9466,10768,11820,10179,7365,5881,4478,2726,1322,997,6,166768
,Licences féminines,,329,8776,12144,3446,1356,1393,1320,1480,1885,1914,1525,1114,808,547,327,148,130,3,38645
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,932,25241,57165,22137,7836,8290,8923,10946,12653,13734,11704,8479,6689,5025,3053,1470,1127,9,205413
125,FF de tir,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,3,774,6245,5471,5676,10924,14489,15301,18264,21709,20590,19314,17756,16714,12432,5995,4773,3,196433
,Licences féminines,,2,206,1627,2026,1150,1579,1792,2102,2316,2589,2396,1954,1507,1190,734,256,131,0,23557
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,5,980,7872,7497,6826,12503,16281,17403,20580,24298,22986,21268,19263,17904,13166,6251,4904,3,219990
126,FF de tir à l'arc,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,30,1760,12750,7619,2036,2099,2218,2686,3351,4144,3821,3504,3447,2720,1596,627,321,0,54729
,Licences féminines,,6,692,5094,4016,1133,1264,1171,1221,1564,1673,1445,1232,878,612,358,98,69,0,22526
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,36,2452,17844,11635,3169,3363,3389,3907,4915,5817,5266,4736,4325,3332,1954,725,390,0,77255
127,FF de triathlon,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,1037,3592,3139,1461,2660,3723,4408,5919,5703,3728,1974,784,388,136,34,5,0,38691
,Licences féminines,,0,742,2242,1688,685,1113,1079,1192,1569,1418,977,408,136,50,21,6,2,0,13328
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,0,1779,5834,4827,2146,3773,4802,5600,7488,7121,4705,2382,920,438,157,40,7,0,52019
128,FF de voile,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1069,31049,47539,17781,4487,3575,4147,4787,6300,7428,7235,6658,5516,4461,2682,916,473,35,156138
,Licences féminines,,681,19768,30401,11784,2647,2037,1858,2091,2465,2563,2294,1839,1224,750,371,104,57,10,82944
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6812,6812
,Sous/Total,,1750,50817,77940,29565,7134,5612,6005,6878,8765,9991,9529,8497,6740,5211,3053,1020,530,6857,245894
129,FF de volleyball,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,323,4172,9598,8977,4024,5045,5085,4949,4562,3258,1898,1187,835,528,282,96,40,5,54864
,Licences féminines,,208,3725,12876,12864,4133,4572,3807,3515,2385,1105,624,333,218,145,51,19,24,1,50605
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,531,7897,22474,21841,8157,9617,8892,8464,6947,4363,2522,1520,1053,673,333,115,64,6,105469
131,FF de hockey sur glace,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,179,4197,3930,2105,1147,1478,1650,1382,1207,872,540,299,174,95,42,14,9,0,19320
,Licences féminines,,41,493,345,228,177,141,134,191,229,192,117,53,25,23,11,0,4,0,2404
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,220,4690,4275,2333,1324,1619,1784,1573,1436,1064,657,352,199,118,53,14,13,0,21724
132,FF de golf,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,399,7793,13328,9444,6269,8458,12078,16032,20208,24654,26218,27350,33078,39406,30437,13949,8175,2,297278
,Licences féminines,,172,3347,4982,2512,1345,1682,2151,3106,4891,7515,10645,13440,16729,19036,13486,5424,2520,0,112983
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,571,11140,18310,11956,7614,10140,14229,19138,25099,32169,36863,40790,49807,58442,43923,19373,10695,2,410261
133,FF de rugby,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,44179,69391,52124,26524,24402,17786,12656,11209,10227,6693,4563,3379,2728,1560,504,249,4,288178
,Licences féminines,,0,1819,3483,5808,3114,2867,1648,1505,1448,1342,889,497,264,234,100,27,14,0,25059
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,0,45998,72874,57932,29638,27269,19434,14161,12657,11569,7582,5060,3643,2962,1660,531,263,4,313237
