Codes Fédé,Fédérations françaises agréées en 2018,Obs,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Corse-du-Sud,Haute-Corse,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,Guadeloupe,Martinique,Guyane,La Réunion,Saint-Pierre-et-Miquelon,Mayotte,St Barthélémy,St Martin,Wallis et Futuna,Polynésie Française,Nouvelle Calédonie,Monaco,Autres,Non réparti par département et par région,TOTAL
Fédérations unisport olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,FF de gymnastique,,22,12,11,3,3,23,6,8,7,7,6,5,33,19,2,6,14,13,3,4,7,16,8,0,6,16,11,13,12,27,6,20,4,38,18,29,5,10,17,8,8,9,13,5,27,17,3,8,0,17,12,11,5,4,18,1,12,32,12,49,19,2,18,12,8,3,7,44,40,45,5,24,18,10,14,10,52,35,36,19,5,8,4,28,8,12,16,5,10,7,5,35,35,27,34,28,10,18,4,13,0,0,0,1,0,0,5,3,0,0,1483
114,FF d'haltérophilie - musculation,,3,4,1,1,0,4,2,0,1,2,1,1,11,5,1,1,4,1,2,0,0,1,1,0,1,2,4,5,2,6,1,7,0,13,9,2,3,1,6,1,2,3,2,0,8,5,3,0,0,1,1,1,1,3,4,0,5,4,1,10,8,1,3,6,5,4,1,13,7,6,2,2,3,2,2,3,2,7,3,0,9,1,1,8,7,2,1,4,1,1,1,2,6,5,4,5,6,3,1,12,0,0,0,0,0,0,4,1,0,0,329
115,FF de handball,(E) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435,2435
116,FF de hockey,,1,0,0,0,0,5,1,0,0,0,0,1,3,4,0,0,0,1,0,0,0,1,1,0,0,1,2,0,2,4,0,2,4,10,2,6,0,2,2,0,0,3,4,0,6,4,0,2,0,3,0,0,0,2,1,0,2,0,0,14,1,0,14,0,0,0,0,2,0,5,0,0,2,0,0,7,13,1,5,0,2,3,0,1,0,0,0,1,0,0,0,1,8,2,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,171
117,FF de judo-jujitsu et disciplines associées,,42,52,27,25,14,66,22,19,15,32,38,20,144,71,10,24,52,32,19,17,16,56,42,14,50,58,29,52,43,67,70,121,31,173,99,86,30,52,92,30,42,25,48,24,82,58,15,37,9,73,35,37,20,27,85,24,74,86,24,180,93,32,100,68,59,21,44,96,65,118,32,35,47,22,50,111,113,157,130,24,58,46,19,90,54,46,49,43,51,40,9,118,60,68,66,93,26,32,13,37,1,6,2,0,1,1,28,3,0,37,5471
118,FF de lutte et disciplines associées,,5,5,2,1,0,7,3,1,1,2,1,0,10,8,0,1,1,0,0,0,0,10,11,0,1,5,0,1,1,24,2,8,1,18,9,11,0,5,9,2,3,0,2,1,17,2,0,2,0,2,4,5,0,1,2,0,7,7,0,16,6,2,10,17,3,9,3,10,9,11,2,11,2,3,3,9,4,13,6,0,0,1,6,4,1,0,2,5,2,0,1,8,12,25,11,5,0,0,0,16,0,0,0,0,0,14,0,0,0,0,483
119,FF de natation ,,6,9,10,2,4,19,6,7,4,4,8,6,36,16,3,10,11,7,3,3,6,7,11,3,5,8,7,13,7,16,9,19,3,27,16,13,6,9,26,4,8,7,11,6,22,13,8,6,2,13,14,8,4,9,17,3,15,17,6,47,17,5,25,14,16,5,10,22,16,32,4,15,13,10,17,21,26,27,27,8,11,7,3,16,11,9,11,6,9,8,2,28,29,27,24,28,12,12,10,20,1,0,1,1,0,9,8,1,0,50,1309
120,FF de pentathlon moderne,,0,1,0,1,0,0,0,0,1,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,48
121,FF de ski,,19,0,3,8,31,43,5,1,15,0,11,7,20,0,4,1,2,1,6,5,4,4,0,0,0,20,19,0,0,6,9,20,7,16,8,1,1,0,75,22,8,0,15,2,2,1,0,2,3,0,0,1,0,1,6,0,0,11,2,1,0,0,1,28,25,19,15,30,54,26,4,8,1,75,116,19,0,3,8,1,0,0,2,13,7,0,3,2,19,2,7,4,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,957
122,FF de taekwondo et disciplines associées,,7,2,3,1,1,16,3,1,1,4,6,7,31,8,0,1,6,3,2,6,13,2,1,1,1,1,6,7,12,1,14,32,1,13,29,8,1,5,19,1,3,1,4,3,16,17,3,7,0,4,0,1,2,1,17,1,5,14,1,31,9,1,5,5,3,3,14,16,9,38,0,1,9,5,14,40,13,40,28,7,6,5,2,24,10,8,3,5,3,1,2,50,20,23,32,16,9,4,7,19,1,1,1,0,0,10,9,3,0,0,942
